id,type,audience,sport,maxWeight,rank,uwwPoints,current,previousRank,previousSeasonRank,season,dateRange_type,dateRange_id,dateRange_start,dateRange_end,person_id,person_type,person_fullname_type,person_fullname_id,person_fullname_lastname,person_fullname_firstname,person_shortname_type,person_shortname_id,person_shortname_lastname,person_shortname_firstname,person_noc,person_gender,person_birthDate,person_profilePicture,person_displayname_type,person_displayname_id,person_displayname_fullname,person_displayname_shortname,person_displayname_lastname,person_displayname_firstname,person_athenaPrintId,person_name,person_externalReferences
256416,Ranking,seniors,fs,57,1,59000,True,2,4,2024,DateRange,/api/.well-known/genid/2b703bf529302ceafbdd,2024-01-10T00:00:00+00:00,2024-08-11T00:00:00+00:00,9100,Person,PersonName,/api/.well-known/genid/b048882c04146308715f,HIGUCHI,Rei,PersonName,/api/.well-known/genid/c25f3cc806445a192314,,,JPN,m,1996-01-28T00:00:00+00:00,https://athena.uww.org/public/person/20546/picture.jpg,PersonName,/api/.well-known/genid/5656164f1aa018436ab2,HIGUCHI Rei,R. HIGUCHI,HIGUCHI,Rei,20546,HIGUCHI Rei,"[{'type': 'ExternalReference', 'id': '/api/.well-known/genid/b00f107aa898a3ca5966', 'source': 'athena', 'identifier': '20546'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/5dd55e1070e9749a697d', 'source': 'website', 'identifier': '5658'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/f702b733fdce9c7bfad9', 'source': 'arena', 'identifier': '0415f854-3265-11e7-b20b-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/54c27af9affc86be1c43', 'source': 'arena', 'identifier': 'e535fc45-e49b-11e6-88bb-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/e22c7a5837a78740345a', 'source': 'arena', 'identifier': 'eb0701c4-549f-11e6-ae2c-005056010154'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/a8e3ae93da6043cd9ef9', 'source': 'arena', 'identifier': 'd5adf519-ebff-11e5-bc59-080027e1d6d2'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/512437ed93197449e97d', 'source': 'arena', 'identifier': '4b828979-7c0d-11eb-983f-080027c03e17'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/df5c0609d5367793b669', 'source': 'arena', 'identifier': '62d4ef58-e5b0-11e8-af5f-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/7f37ae78d1c2a054157b', 'source': 'arena', 'identifier': 'cf7e8798-42b9-11e5-b0d4-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/4aa601573838f60080fb', 'source': 'arena', 'identifier': '5dffd1e1-94a3-11ec-9c9d-08002745f808'}]"
256417,Ranking,seniors,fs,57,2,51600,True,6,5,2024,DateRange,/api/.well-known/genid/88e623d493d5d9fccc13,2024-01-10T00:00:00+00:00,2024-08-11T00:00:00+00:00,1447,Person,PersonName,/api/.well-known/genid/e7ddbd0ed3ead6d04b12,AMAN,Aman,PersonName,/api/.well-known/genid/86db838a48b0dcaeae65,,,IND,m,2003-07-16T00:00:00+00:00,https://athena.uww.org/public/person/58949/picture.jpg,PersonName,/api/.well-known/genid/303e78b49f0ce696a019,AMAN Aman,A. AMAN,AMAN,Aman,58949,AMAN Aman,"[{'type': 'ExternalReference', 'id': '/api/.well-known/genid/72cffb2da4e9225e85c8', 'source': 'athena', 'identifier': '58949'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/0309d7574cdb232be156', 'source': 'arena', 'identifier': '6aa37700-f38e-11ec-80a3-08002745f808'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/8ea999ac2d8ef037ecad', 'source': 'arena', 'identifier': '4372fd6d-8275-11ec-b5f9-08002745f808'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/86196d6a2bc26d042536', 'source': 'arena', 'identifier': '22a1707b-e7b7-11eb-9dff-08002747495e'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/a755b0bdbb2c06eebae3', 'source': 'arena', 'identifier': 'eb0e4ca5-0c5d-11ea-b2ec-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/aba9ff293bab5327ca59', 'source': 'arena', 'identifier': '071ad483-9c30-11e9-ac86-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/2790725035aca4675fa7', 'source': 'arena', 'identifier': 'b64cd2f8-7c3e-11e8-a55a-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/81850595dc90556f7f22', 'source': 'arena', 'identifier': 'b0b9eef5-0a92-11ed-b809-08002745f808'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/cc3f8409adfeb3aafd67', 'source': 'arena', 'identifier': '77d10185-a92e-11ec-8c0c-08002745f808'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/ea94ba16144886fdb50c', 'source': 'arena', 'identifier': '3a02cb8a-fe9e-11ec-ab60-08002745f808'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/2bd8c6c5cb5f9d7104c4', 'source': 'arena', 'identifier': '9286c282-eed6-11ec-a2ab-08002745f808'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/fbea61dae515d2166be5', 'source': 'arena', 'identifier': '20cf27f5-b13a-11e9-95ea-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/6aa2f500b1e84ed525e5', 'source': 'arena', 'identifier': '81283939-5062-11ed-9391-08002745f808'}]"
256418,Ranking,seniors,fs,57,3,51400,True,27,0,2024,DateRange,/api/.well-known/genid/67e05ab2f4f247868e97,2024-01-10T00:00:00+00:00,2024-08-11T00:00:00+00:00,165282,Person,PersonName,/api/.well-known/genid/c725c7091e3697c41b79,LEE,Spencer Richard,PersonName,/api/.well-known/genid/71f427d5e9cd4fffe642,,,USA,m,1998-10-14T00:00:00+00:00,https://athena.uww.org/public/person/24452/picture.jpg,PersonName,/api/.well-known/genid/e55afa72bf78f11d89bd,LEE Spencer Richard,S. LEE,LEE,Spencer Richard,24452,LEE Spencer Richard,"[{'type': 'ExternalReference', 'id': '/api/.well-known/genid/54390722c915edea2b3f', 'source': 'arena', 'identifier': '9208f25d-6d31-11e6-9a86-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/4e2092a0ddb83ffa87b0', 'source': 'athena', 'identifier': '24452'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/334479b5b1de05b53f8a', 'source': 'arena', 'identifier': '1eebafd0-79c7-65c0-9f9c-475c94a31920'}]"
256419,Ranking,seniors,fs,57,4,37720,True,9,23,2024,DateRange,/api/.well-known/genid/4dd9c6fe4379e48bb3e7,2024-01-10T00:00:00+00:00,2024-08-11T00:00:00+00:00,186,Person,PersonName,/api/.well-known/genid/00b50debed524687a1ce,ABDULLAEV,Gulomjon,PersonName,/api/.well-known/genid/159c96c244a7f80bc776,,,UZB,m,1998-11-11T00:00:00+00:00,https://athena.uww.org/public/person/22972/picture.jpg,PersonName,/api/.well-known/genid/cbec44434a45d74eca74,ABDULLAEV Gulomjon,G. ABDULLAEV,ABDULLAEV,Gulomjon,22972,ABDULLAEV Gulomjon,"[{'type': 'ExternalReference', 'id': '/api/.well-known/genid/9d355c219671969d8df0', 'source': 'athena', 'identifier': '22972'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/475a43b15fcad8721079', 'source': 'website', 'identifier': '8391'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/090484de0fde328ecff2', 'source': 'arena', 'identifier': 'eb4887f3-963b-11ec-bc13-08002745f808'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/89146da4226656f3165a', 'source': 'arena', 'identifier': 'bff8ca95-f108-11eb-803a-06b1e9be04dc'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/019c07a955e4003a8919', 'source': 'arena', 'identifier': 'b2bd319e-8821-11e8-8787-0800275fde6b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/3b08747dda18f17a41be', 'source': 'arena', 'identifier': 'bfb6e0a1-7570-11e7-864e-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/170a5842f15ab7bdd387', 'source': 'arena', 'identifier': '93904022-6d31-11e6-9a86-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/66731602731d19df4e47', 'source': 'arena', 'identifier': '1ec8d19a-c7cd-11eb-ab8d-080027263834'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/a4ff7dd79b709fee623b', 'source': 'arena', 'identifier': '9e2bd226-979c-11eb-8dc4-080027c03e17'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/f19291eb0293aae7fe94', 'source': 'arena', 'identifier': 'b6312afd-3a94-11e9-a26d-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/d745134ec3e83eb819c2', 'source': 'arena', 'identifier': '3a6daf4c-b8d5-11e8-9f32-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/c7535a3a05677cebf4ff', 'source': 'arena', 'identifier': '83ab7588-7df6-11e8-a799-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/81322a5691ce55b8eb0e', 'source': 'arena', 'identifier': 'be0e6712-4d75-11e5-a5fb-0800275a62ce'}]"
256420,Ranking,seniors,fs,57,5,31280,True,30,10,2024,DateRange,/api/.well-known/genid/085156ac19f21e8035ac,2024-01-10T00:00:00+00:00,2024-08-11T00:00:00+00:00,5172,Person,PersonName,/api/.well-known/genid/1156b83ec284f5f75138,CRUZ,Darian Toi,PersonName,/api/.well-known/genid/54564c4773bea3f37b87,,,PUR,m,1995-02-07T00:00:00+00:00,https://athena.uww.org/public/person/59205/picture.jpg,PersonName,/api/.well-known/genid/f88e62142da940ad4480,CRUZ Darian Toi,D. CRUZ,CRUZ,Darian Toi,59205,CRUZ Darian Toi,"[{'type': 'ExternalReference', 'id': '/api/.well-known/genid/484f9da32f74a4203596', 'source': 'athena', 'identifier': '59205'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/7545cdcf5b0e862e88b1', 'source': 'arena', 'identifier': 'fed9190a-cbd6-11ec-bad4-08002745f808'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/0a037c4c8de131e12ac5', 'source': 'arena', 'identifier': '43aadf1d-8275-11ec-b5f9-08002745f808'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/7d63a7c031c61e9dcd9b', 'source': 'arena', 'identifier': 'b5e94b43-5ba2-11ea-96e7-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/4ad2e1eaf76ff4235608', 'source': 'arena', 'identifier': '1ec272c2-b1f6-11e8-823d-080027acf3d2'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/999d1222e082583abbe2', 'source': 'arena', 'identifier': '0891b6c2-b9d0-11e9-9d8b-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/77d7b1817023adc46b04', 'source': 'arena', 'identifier': '1ee7766c-681f-6850-b01b-1dae10bfac78'}]"
256421,Ranking,seniors,fs,57,6,26550,True,16,26,2024,DateRange,/api/.well-known/genid/8440dc9afd37373fcbe2,2024-01-10T00:00:00+00:00,2024-08-11T00:00:00+00:00,9936,Person,PersonName,/api/.well-known/genid/f28c9e44db234abecf9e,IUNA FAFE,Diamantino,PersonName,/api/.well-known/genid/c71518adc27d7503111c,,,GBS,m,2001-06-10T00:00:00+00:00,https://athena.uww.org/public/person/43867/picture.jpg,PersonName,/api/.well-known/genid/0b3a43bea3cd44207659,IUNA FAFE Diamantino,D. IUNA FAFE,IUNA FAFE,Diamantino,43867,IUNA FAFE Diamantino,"[{'type': 'ExternalReference', 'id': '/api/.well-known/genid/dd048560abc3b4a9a5ef', 'source': 'athena', 'identifier': '43867'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/2523f8e59c2e4f476481', 'source': 'arena', 'identifier': '310791f0-f110-11eb-803a-06b1e9be04dc'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/0068962e95f193a9b884', 'source': 'arena', 'identifier': 'b3c15255-7c3e-11e8-a55a-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/f9b205ed692b4b5be504', 'source': 'arena', 'identifier': '23758bd5-0689-11e8-ad69-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/31270e7acf4cb8810dad', 'source': 'arena', 'identifier': '2939ec1b-0d02-11e8-b28b-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/c9cc34cb10654076dfae', 'source': 'arena', 'identifier': 'de149fdb-d836-11ec-b503-08002745f808'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/c6a354548ad12d43ee27', 'source': 'arena', 'identifier': '009bff4c-bc30-11e9-ad7f-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/bcc14a47aa3f03191c04', 'source': 'arena', 'identifier': '59230a32-92d9-11eb-a016-080027263834'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/ec22672f29a0e2b55680', 'source': 'arena', 'identifier': '33093ce6-3ba9-11eb-9dcc-08002796c0c6'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/21ca7155deeaf7edab21', 'source': 'arena', 'identifier': 'ba46591a-4664-11ea-9d73-020f14733af0'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/3192eec6bdd3970cef85', 'source': 'arena', 'identifier': 'b8b7cb99-d5f3-11e9-a9fd-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/62f2de3f2545611b727e', 'source': 'arena', 'identifier': '9e8aee48-c8ea-11e9-8e05-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/29acf0caf928b9348822', 'source': 'arena', 'identifier': '93d10a6c-4f0b-11e9-ac7b-080027548b1b'}]"
256422,Ranking,seniors,fs,57,7,26200,True,3,6,2024,DateRange,/api/.well-known/genid/28a14615c984ff8c8555,2024-01-10T00:00:00+00:00,2024-08-11T00:00:00+00:00,8820,Person,PersonName,/api/.well-known/genid/5db96cc656ab8122aa0e,HARUTYUNYAN,Arsen,PersonName,/api/.well-known/genid/b780bbfde22d43d8671a,,,ARM,m,1999-11-22T00:00:00+00:00,https://athena.uww.org/public/person/32794/picture.jpg,PersonName,/api/.well-known/genid/03f2efe0b4aea403c8df,HARUTYUNYAN Arsen,A. HARUTYUNYAN,HARUTYUNYAN,Arsen,32794,HARUTYUNYAN Arsen,"[{'type': 'ExternalReference', 'id': '/api/.well-known/genid/3fe3bdbbfaa48bf21e46', 'source': 'athena', 'identifier': '32794'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/ca5bf72b955b356fb330', 'source': 'website', 'identifier': '8575'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/d2c77c5f641196df769b', 'source': 'arena', 'identifier': '180ebad6-22a0-11ec-8a0c-08002745f808'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/352b90ccb334b02ceb6f', 'source': 'arena', 'identifier': '522d43c0-f109-11eb-803a-06b1e9be04dc'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/8b2883bd67c3d6e32171', 'source': 'arena', 'identifier': '4f1b85fb-9339-11e8-ad72-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/edea0e2c48e4a8dd7c58', 'source': 'arena', 'identifier': 'a69983d3-7570-11e7-864e-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/8e03100adc720753021c', 'source': 'arena', 'identifier': 'a6a91a43-5a57-11e7-adf4-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/5da1fbd7d605660b0a45', 'source': 'arena', 'identifier': '6b831b03-78bb-11e6-8f23-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/6171ae8b035471f62df3', 'source': 'arena', 'identifier': '0ff2d6d6-39ec-11e5-a909-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/6e4e32da59ed9f66040e', 'source': 'arena', 'identifier': '027e3242-4a8d-11ea-b152-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/5181b335ca7d72f9f168', 'source': 'arena', 'identifier': '15b63d17-1f53-11eb-a19b-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/fdc5f336edd9ed8859f7', 'source': 'arena', 'identifier': '3ed71617-6380-11ea-8b1d-08002796c0c6'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/0089d95fcf0572099c3e', 'source': 'arena', 'identifier': '6d8109c2-4b4f-11ea-b9e6-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/0f084d4476b35dbe14d9', 'source': 'arena', 'identifier': '3c8c9c72-f809-11e9-98d0-080027497a7f'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/fee1e19633ed9a0adb1b', 'source': 'arena', 'identifier': 'ac12dbdb-d5f3-11e9-a9fd-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/33b8148a9d6528ef0ebc', 'source': 'arena', 'identifier': '63180780-5911-11e9-8803-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/8a81dbb3ffc763bd8f78', 'source': 'arena', 'identifier': '144f795a-b8d5-11e8-9f32-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/ed4de55b9e16949767b0', 'source': 'arena', 'identifier': '35fc24c3-4b85-11e6-92d6-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/4b4cdb4aaeceec7e7502', 'source': 'arena', 'identifier': '808ed123-5062-11ed-9391-08002745f808'}]"
256423,Ranking,seniors,fs,57,8,23000,True,0,8,2024,DateRange,/api/.well-known/genid/fee29ede94f57d19aa37,2024-01-10T00:00:00+00:00,2024-08-11T00:00:00+00:00,1322,Person,PersonName,/api/.well-known/genid/adc781906a8d029c347d,ALMAZ UULU,Bekzat,PersonName,/api/.well-known/genid/8fdfdb0ce1c466cab1b6,,,KGZ,m,2000-12-03T00:00:00+00:00,https://athena.uww.org/public/person/43982/picture.jpg,PersonName,/api/.well-known/genid/f7d6c6f9e35675adb74b,ALMAZ UULU Bekzat,B. ALMAZ UULU,ALMAZ UULU,Bekzat,43982,ALMAZ UULU Bekzat,"[{'type': 'ExternalReference', 'id': '/api/.well-known/genid/4d41cd349f0cc3fead38', 'source': 'athena', 'identifier': '43982'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/8ac19b7fc770ada0fbb4', 'source': 'arena', 'identifier': '6ade545f-f38e-11ec-80a3-08002745f808'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/4c5b32a6ef47b6fd5a82', 'source': 'arena', 'identifier': '81872a5a-5062-11ed-9391-08002745f808'}]"
256424,Ranking,seniors,fs,57,9,21700,True,8,1,2024,DateRange,/api/.well-known/genid/e3b1e72e977c541e9a3c,2024-01-10T00:00:00+00:00,2024-08-11T00:00:00+00:00,25552,Person,PersonName,/api/.well-known/genid/fc89a2d557ec4031e6e4,ZOU,Wanhao,PersonName,/api/.well-known/genid/d5e9a902efee8bdf7b1c,,,CHN,m,1998-03-29T00:00:00+00:00,https://athena.uww.org/public/person/43768/picture.jpg,PersonName,/api/.well-known/genid/0109e4ce6bccb6630fef,ZOU Wanhao,W. ZOU,ZOU,Wanhao,43768,ZOU Wanhao,"[{'type': 'ExternalReference', 'id': '/api/.well-known/genid/f456bb2280529c68a982', 'source': 'athena', 'identifier': '43768'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/9d6b7fb35370ccea69c4', 'source': 'website', 'identifier': '8241'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/2b795485251d364ae783', 'source': 'arena', 'identifier': 'c17553e5-d22e-11e8-b941-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/eb92ef6364af6fe05758', 'source': 'arena', 'identifier': 'a886605c-8821-11e8-8787-0800275fde6b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/c28663535342626ec25a', 'source': 'arena', 'identifier': '4c1ed195-ca53-11e7-be93-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/43ced839230dbfd67e4e', 'source': 'arena', 'identifier': 'aa956193-85a0-11e7-b62f-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/80a69f083fac4c17f362', 'source': 'arena', 'identifier': 'a8f8deba-7570-11e7-864e-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/e0437d07b36ac6fe83be', 'source': 'arena', 'identifier': '37342c20-5018-11e7-87e5-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/95482356464ed6f24327', 'source': 'arena', 'identifier': '01f244b2-3265-11e7-b20b-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/9a5ac81d4c80595b7215', 'source': 'arena', 'identifier': '32a475fe-36d4-11ea-9b86-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/78af80852e265afbf36e', 'source': 'arena', 'identifier': '3d9bfba6-f809-11e9-98d0-080027497a7f'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/c8de0a2e20d51b734d41', 'source': 'arena', 'identifier': 'd44206eb-64ff-11e9-be30-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/b3cae1565291aad6fef3', 'source': 'arena', 'identifier': 'a3dcb585-3a94-11e9-a26d-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/ec0ef4f4e674705a201e', 'source': 'arena', 'identifier': '55e4611c-e5b0-11e8-af5f-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/fe8bed02c64243d3f7e1', 'source': 'arena', 'identifier': '1787ea65-b8d5-11e8-9f32-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/31bd75697a3ae6c07405', 'source': 'arena', 'identifier': '795e6cf7-7df6-11e8-a799-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/3fdd97f9bf5209774f0d', 'source': 'arena', 'identifier': 'b6fa0738-340b-11ed-a29d-08002745f808'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/a201a1a04172806055f5', 'source': 'arena', 'identifier': '71a86c0f-e4d6-11e8-b41d-080027548b1b'}]"
256425,Ranking,seniors,fs,57,10,17500,True,11,11,2024,DateRange,/api/.well-known/genid/e533ac10add5064dc6e5,2024-01-10T00:00:00+00:00,2024-08-11T00:00:00+00:00,131637,Person,PersonName,/api/.well-known/genid/83697e09f148d4aed84b,DINGASHVILI,Roberti,PersonName,/api/.well-known/genid/1af84dc44ff0112b9217,,,GEO,m,1997-06-23T00:00:00+00:00,https://athena.uww.org/public/person/28739/picture.jpg,PersonName,/api/.well-known/genid/c6316238b27d0ab93ccb,DINGASHVILI Roberti,R. DINGASHVILI,DINGASHVILI,Roberti,28739,DINGASHVILI Roberti,"[{'type': 'ExternalReference', 'id': '/api/.well-known/genid/220f54883707cc798082', 'source': 'athena', 'identifier': '28739'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/f0e121eaa1a9828f8457', 'source': 'arena', 'identifier': 'aae30cf7-7570-11e7-864e-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/18ad425385abc2731e96', 'source': 'arena', 'identifier': 'a1359592-7118-11e6-9052-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/b9bf5c963f6e7ccc3ffb', 'source': 'arena', 'identifier': '3a600dc7-3650-11e6-a2da-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/bff4393e99f9db627eb8', 'source': 'arena', 'identifier': '120df850-6733-11e8-aaf6-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/ce783ea5e5d7e60cf602', 'source': 'arena', 'identifier': '3e461fa7-f809-11e9-98d0-080027497a7f'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/5b47242addfb907b04a1', 'source': 'arena', 'identifier': '3e571678-3d08-11e9-bc9b-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/cfbb1451715c1a2c5feb', 'source': 'arena', 'identifier': '58d70f4b-e5b0-11e8-af5f-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/1c51f2b95d8aad434664', 'source': 'arena', 'identifier': '79fc2828-7df6-11e8-a799-080027548b1b'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/3e3088dc1faa9b6c392d', 'source': 'arena', 'identifier': '2ec4d299-42ba-11e5-b0d4-0800275a62ce'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/4f35200086e293902753', 'source': 'arena', 'identifier': 'd977724e-1827-11e5-b5a3-08002730eb8a'}]"
256426,Ranking,seniors,fs,57,11,16200,True,14,0,2024,DateRange,/api/.well-known/genid/09cc7649f4ac03b76d25,2024-01-10T00:00:00+00:00,2024-08-11T00:00:00+00:00,10962,Person,PersonName,/api/.well-known/genid/65fd1bc5896acac60760,KARAVUS,Muhammet,PersonName,/api/.well-known/genid/3114beb62435132fa244,,,TUR,m,2002-06-10T00:00:00+00:00,https://athena.uww.org/public/person/54910/picture.jpg,PersonName,/api/.well-known/genid/aec21c964d226ba1fbb3,KARAVUS Muhammet,M. KARAVUS,KARAVUS,Muhammet,54910,KARAVUS Muhammet,"[{'type': 'ExternalReference', 'id': '/api/.well-known/genid/1f16a18780d72b26210f', 'source': 'athena', 'identifier': '54910'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/5a22eac770b434124dce', 'source': 'arena', 'identifier': '228a9d0d-94a2-11ec-9c9d-08002745f808'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/53d73ef7cc54d53a0093', 'source': 'arena', 'identifier': '44c1bcca-fda0-11eb-a3ef-080027263834'}, {'type': 'ExternalReference', 'id': '/api/.well-known/genid/32b2ab99d13a1d5709cb', 'source': 'arena', 'identifier': 'd8f6f34d-8f46-11e9-b5f4-080027548b1b'}]"
